Tanggal,Media,Topik
1-Jan-21,Lapor Sleman,Pengajuan Pencetakan E-KTP
1-Jan-21,Lapor Sleman,Bau Menyengat
1-Jan-21,Instagram,indo SIM keliling
1-Jan-21,Website,Pengajuan KIP
1-Jan-21,Twitter,jalan berlubang
2-Jan-21,Website,ODGJ meresahkan
2-Jan-21,Lapor Sleman,Pkl
3-Jan-21,Website,Pemain layangan mengganggu pertanian
3-Jan-21,Twitter,Jalan inspeksi selokan mataram
4-Jan-21,Lapor Sleman,Sampah Sudah Menumpuk Di Titik-titik Tertentu
4-Jan-21,Instagram,Pohon perindang tinggi
4-Jan-21,Website,Jam operasional
4-Jan-21,Website,Prosedur mendapatkan bantuan dari pemerintah
4-Jan-21,Lapor Sleman,Banner
4-Jan-21,Lapor Sleman,Aduan Pembuangan Sampah
4-Jan-21,Instagram,Prosedur pindah datang online
4-Jan-21,Instagram,Pengurusan dokumen kependudukan secara online
4-Jan-21,Twitter,tutup drainase underpass kentungan tidak rata
4-Jan-21,Twitter,Jembatan rusak
4-Jan-21,Instagram,Akta Kelahiran
5-Jan-21,Email,Sinkronisasi NIK
5-Jan-21,Email,Layanan Penanggulangan Bencana
5-Jan-21,Website,Jalan berlubang
5-Jan-21,Facebook Grup ICJ,Jalan berlubang
5-Jan-21,Facebook Grup ICJ,Jalan Gito Gati
5-Jan-21,Twitter,Jalan Gito Gati
5-Jan-21,Twitter,Mengirim makanan ke rusunawa gemawang
6-Jan-21,Lapor Sleman,"Badan Jalan Dipasang Tiang 
"
6-Jan-21,Website,Pembelian tanah KTP luar Provinsi
6-Jan-21,Website,Tugas Penegak Protokol kesehatan
6-Jan-21,Twitter,Pemberhentian Trans jogja
6-Jan-21,Website,Susah buang sampah rumah tangga
6-Jan-21,Lapor Sleman,Lampu PJU Mati Di Jalan Besi Jangkang
6-Jan-21,Lapor Sleman,Lampu Hati2
6-Jan-21,Instagram,Penemuan SIM A
6-Jan-21,Instagram,Legalisir KK online
6-Jan-21,Instagram,Data Kependudukan tidak sama
6-Jan-21,Twitter,Instruksi Presiden PSBB
6-Jan-21,Twitter,Peta Epidemiologi
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Twitter,Instruksi Presiden PSBB
7-Jan-21,Twitter,Jogging track digunakan parkir mobil
7-Jan-21,Twitter,Jogging track digunakan parkir mobil
7-Jan-21,Lapor Sleman,LAPORAN KAMPUS STPN BANYAK TARUNA YG POSITIF
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Informasi CPNS
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Lapor Sleman,UPDATE E-KTP & KK
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Satgas Covid - 19 Kab Sleman
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Instruksi Presiden PSBB
7-Jan-21,Instagram,Jalan Gito - Gati
8-Jan-21,Instagram,Instruksi Presiden PSBB
8-Jan-21,Instagram,Instruksi Presiden PSBB
8-Jan-21,Instagram,Instruksi Presiden PSBB
8-Jan-21,Instagram,APILL Mati
8-Jan-21,Instagram,Instruksi Presiden PSBB
8-Jan-21,Instagram,Jalan berlubang
8-Jan-21,Instagram,Tong Air Dijalan PJKA Kurang Diperhatikan
8-Jan-21,Twitter,Jalan berlubang
