Tanggal,Media,Topik,Topik_Cleaned
1-Jan-21,Lapor Sleman,Pengajuan Pencetakan E-KTP,pengajuan pencetakan ektp
1-Jan-21,Lapor Sleman,Bau Menyengat,bau menyengat
1-Jan-21,Instagram,indo SIM keliling,indo sim keliling
1-Jan-21,Website,Pengajuan KIP,pengajuan kip
1-Jan-21,Twitter,jalan berlubang,jalan berlubang
2-Jan-21,Website,ODGJ meresahkan,odgj meresahkan
2-Jan-21,Lapor Sleman,Pkl,pkl
3-Jan-21,Website,Pemain layangan mengganggu pertanian,pemain layangan mengganggu pertanian
3-Jan-21,Twitter,Jalan inspeksi selokan mataram,jalan inspeksi selokan mataram
4-Jan-21,Lapor Sleman,Sampah Sudah Menumpuk Di Titik-titik Tertentu,sampah menumpuk titiktitik tertentu
4-Jan-21,Instagram,Pohon perindang tinggi,pohon perindang tinggi
4-Jan-21,Website,Jam operasional,jam operasional
4-Jan-21,Website,Prosedur mendapatkan bantuan dari pemerintah,prosedur mendapatkan bantuan pemerintah
4-Jan-21,Lapor Sleman,Banner,banner
4-Jan-21,Lapor Sleman,Aduan Pembuangan Sampah,aduan pembuangan sampah
4-Jan-21,Instagram,Prosedur pindah datang online,prosedur pindah datang online
4-Jan-21,Instagram,Pengurusan dokumen kependudukan secara online,pengurusan dokumen kependudukan online
4-Jan-21,Twitter,tutup drainase underpass kentungan tidak rata,tutup drainase underpass kentungan rata
4-Jan-21,Twitter,Jembatan rusak,jembatan rusak
4-Jan-21,Instagram,Akta Kelahiran,akta kelahiran
5-Jan-21,Email,Sinkronisasi NIK,sinkronisasi nik
5-Jan-21,Email,Layanan Penanggulangan Bencana,layanan penanggulangan bencana
5-Jan-21,Website,Jalan berlubang,jalan berlubang
5-Jan-21,Facebook Grup ICJ,Jalan berlubang,jalan berlubang
5-Jan-21,Facebook Grup ICJ,Jalan Gito Gati,jalan gito gati
5-Jan-21,Twitter,Jalan Gito Gati,jalan gito gati
5-Jan-21,Twitter,Mengirim makanan ke rusunawa gemawang,mengirim makanan rusunawa gemawang
6-Jan-21,Lapor Sleman,"Badan Jalan Dipasang Tiang 
",badan jalan dipasang tiang
6-Jan-21,Website,Pembelian tanah KTP luar Provinsi,pembelian tanah ktp luar provinsi
6-Jan-21,Website,Tugas Penegak Protokol kesehatan,tugas penegak protokol kesehatan
6-Jan-21,Twitter,Pemberhentian Trans jogja,pemberhentian trans
6-Jan-21,Website,Susah buang sampah rumah tangga,susah buang sampah rumah tangga
6-Jan-21,Lapor Sleman,Lampu PJU Mati Di Jalan Besi Jangkang,lampu pju mati jalan besi jangkang
6-Jan-21,Lapor Sleman,Lampu Hati2,lampu hati
6-Jan-21,Instagram,Penemuan SIM A,penemuan sim a
6-Jan-21,Instagram,Legalisir KK online,legalisir kk online
6-Jan-21,Instagram,Data Kependudukan tidak sama,data kependudukan sama
6-Jan-21,Twitter,Instruksi Presiden PSBB,instruksi presiden psbb
6-Jan-21,Twitter,Peta Epidemiologi,peta epidemiologi
7-Jan-21,Instagram,Instruksi Presiden PSBB,instruksi presiden psbb
7-Jan-21,Twitter,Instruksi Presiden PSBB,instruksi presiden psbb
7-Jan-21,Twitter,Jogging track digunakan parkir mobil,jogging track digunakan parkir mobil
7-Jan-21,Lapor Sleman,LAPORAN KAMPUS STPN BANYAK TARUNA YG POSITIF,laporan kampus stpn banyak taruna positif
7-Jan-21,Instagram,Informasi CPNS,cpns
7-Jan-21,Lapor Sleman,UPDATE E-KTP & KK,update ektp kk
7-Jan-21,Instagram,Satgas Covid - 19 Kab Sleman,satgas covid kab
7-Jan-21,Instagram,Jalan Gito - Gati,jalan gito gati
