Tanggal,Media,Topik,Topik_Cleaned,label,prediksi_model,cluster
1-Jan-21,Lapor Sleman,Bau Menyengat,bau menyengat,1,1,1
1-Jan-21,Twitter,jalan berlubang,jalan berlubang,1,1,2
4-Jan-21,Lapor Sleman,Sampah Sudah Menumpuk Di Titik-titik Tertentu,sampah menumpuk titiktitik tertentu,1,1,1
4-Jan-21,Instagram,Pohon perindang tinggi,pohon perindang tinggi,1,1,1
4-Jan-21,Lapor Sleman,Aduan Pembuangan Sampah,aduan pembuangan sampah,1,1,1
4-Jan-21,Twitter,Jembatan rusak,jembatan rusak,1,1,1
5-Jan-21,Website,Jalan berlubang,jalan berlubang,1,1,2
5-Jan-21,Facebook Grup ICJ,Jalan berlubang,jalan berlubang,1,1,2
6-Jan-21,Lapor Sleman,"Badan Jalan Dipasang Tiang 
",badan jalan dipasang tiang,0,1,1
6-Jan-21,Website,Susah buang sampah rumah tangga,susah buang sampah rumah tangga,1,1,1
6-Jan-21,Lapor Sleman,Lampu PJU Mati Di Jalan Besi Jangkang,lampu pju mati jalan besi jangkang,1,1,0
6-Jan-21,Lapor Sleman,Lampu Hati2,lampu hati,1,1,1
7-Jan-21,Twitter,Jogging track digunakan parkir mobil,jogging track digunakan parkir mobil,1,1,1
8-Jan-21,Instagram,APILL Mati,apill mati,1,1,0
8-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1,1,2
8-Jan-21,Instagram,Tong Air Dijalan PJKA Kurang Diperhatikan,tong air dijalan pjka kurang diperhatikan,1,1,1
8-Jan-21,Twitter,Jalan berlubang,jalan berlubang,1,1,2
8-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
9-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1,1,2
9-Jan-21,Instagram,Jalan rusak,jalan rusak,1,1,2
9-Jan-21,Lapor Sleman,Jalan Berlubang Lokasi Jl Damai,jalan berlubang lokasi jl damai,1,1,1
9-Jan-21,Lapor Sleman,Jalan Berlubang Dan Ambles,jalan berlubang ambles,1,1,2
9-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
9-Jan-21,Lapor Sleman,Jalan Berlaubang Di Jl. Palagan KM 8,jalan berlaubang jl palagan,0,1,1
9-Jan-21,Website,Peningkatan jalan dan pemasangan PJU,peningkatan jalan pemasangan pju,1,1,1
9-Jan-21,Website,Jalan rusak,jalan rusak,1,1,2
10-Jan-21,Facebook Grup ICJ,Jalan berlubang,jalan berlubang,1,1,2
10-Jan-21,Lapor Sleman,Jalan Berlubang Di Saluran Drainase,jalan berlubang saluran drainase,1,1,1
10-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
10-Jan-21,Website,Kandang ayam menyebabkan bau,kandang ayam menyebabkan bau,1,1,1
11-Jan-21,Website,Jalan berlubang,jalan berlubang,1,1,2
11-Jan-21,Instagram,KTP Rusak,ktp rusak,1,1,1
11-Jan-21,Lapor Sleman,Jl Berlubang,jl berlubang,1,1,1
12-Jan-21,Website,Median Jalan Ring Road Utara,median jalan ring road utara,0,1,1
12-Jan-21,Twitter,Rambu jalan tertutup pohon,rambu jalan tertutup pohon,1,1,1
12-Jan-21,Twitter,Aliran air PDAM,aliran air pdam,1,1,1
12-Jan-21,Instagram,Defender ring road rusak,defender ring road rusak,1,1,1
12-Jan-21,Twitter,PJU di jalur evakuasi merapi,pju jalur evakuasi merapi,1,1,1
13-Jan-21,Twitter,Jalan Nasional rusak,jalan nasional rusak,1,1,1
13-Jan-21,Website,Jalan berlubang,jalan berlubang,1,1,2
13-Jan-21,Facebook Pemkab Sleman,Jalan berlubang,jalan berlubang,1,1,2
13-Jan-21,Lapor Sleman,Lampu PJU Di Jln Besi Jangkang Byar Pet Kalau Hujan,lampu pju jln besi jangkang byar pet kalau hujan,1,1,1
15-Jan-21,Instagram,Pembakaran sampah oleh tetangga,pembakaran sampah tetangga,1,1,1
15-Jan-21,Email,Tetangga membakar sampai yang mengganggu kesehatan,tetangga membakar mengganggu kesehatan,1,1,1
19-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1,1,2
20-Jan-21,Lapor Sleman,Mohon Respon Cepat! Lampu Lalin Persimpangan Ringroad Mati,respon cepat lampu lalin persimpangan ringroad mati,1,1,1
21-Jan-21,Instagram,Lampu APILL Perempatan Kentungan mati,lampu apill perempatan kentungan mati,1,1,1
21-Jan-21,Lapor Sleman,Pohon Bambu,pohon bambu,1,1,1
22-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
22-Jan-21,Lapor Sleman,Trotoar Rusak,trotoar rusak,1,1,1
22-Jan-21,Lapor Sleman,Pju Mati Lk 2 Minggu,pju mati lk minggu,1,1,1
22-Jan-21,Twitter,KTP Rusak,ktp rusak,1,1,1
23-Jan-21,Instagram,Jalan berlubang,jalan berlubang,1,1,2
23-Jan-21,Lapor Sleman,Lampu PJU Mati,lampu pju mati,1,1,0
24-Jan-21,Lapor Sleman,Pohon Besar Pinggir Jalan Membahayakan,pohon besar pinggir jalan membahayakan,1,1,1
24-Jan-21,Instagram,Pohon menutup papan penunjuk jalan,pohon menutup papan penunjuk jalan,1,1,1
24-Jan-21,Twitter,LPJU Mati,lpju mati,1,1,1
25-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
26-Jan-21,Website,BPUM tidak cair,bpum cair,1,1,1
26-Jan-21,Instagram,Parkir liar di tempat wisata,parkir liar tempat wisata,1,1,1
26-Jan-21,Lapor Sleman,Air PDAM Keruh,air pdam keruh,1,1,1
27-Jan-21,Lapor Sleman,Tempat Sampah Sekitar Lapangan Pemda,tempat sampah lapangan pemda,1,1,1
27-Jan-21,Instagram,Air PDAM Keruh,air pdam keruh,1,1,1
28-Jan-21,Website,Jalan Berlubang,jalan berlubang,1,1,2
28-Jan-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
29-Jan-21,Lapor Sleman,Sampah Dibuang Ke Saluran Irigasi,sampah dibuang saluran irigasi,1,1,1
29-Jan-21,Lapor Sleman,Aduan Pembuangan Sampah Sembarangan,aduan pembuangan sampah sembarangan,1,1,1
29-Jan-21,Facebook Grup ICJ,APILL Perempatan demak ijo mati,apill perempatan demak ijo mati,1,1,1
29-Jan-21,Website,Pembuangan bongkahan pengerukan aspal lama,pembuangan bongkahan pengerukan aspal lama,1,1,1
29-Jan-21,Lapor Sleman,Parkir Di Jalan Umum,parkir jalan umum,1,1,1
29-Jan-21,Facebook Grup ICJ,Wisata tebing breksi mahal,wisata tebing breksi mahal,1,1,1
30-Jan-21,Twitter,LPJU mati,lpju mati,1,1,1
30-Jan-21,Website,Pembakaran sampah,pembakaran sampah,1,1,1
30-Jan-21,Instagram,Wisata tebing breksi mahal,wisata tebing breksi mahal,1,1,1
31-Jan-21,Lapor Sleman,Penumpukan Sampah,penumpukan sampah,1,1,1
31-Jan-21,Website,Aliran PDAM mati,aliran pdam mati,1,1,1
2-Feb-21,Instagram,APILL mati,apill mati,1,1,0
2-Feb-21,Facebook Pemkab Sleman,Jalan banyak rumput,jalan banyak rumput,0,1,1
3-Feb-21,Lapor Sleman,Jalan Berlubang Timur Gejayan,jalan berlubang timur gejayan,1,1,1
3-Feb-21,Facebook Pemkab Sleman,Pohon perindang menjorok ke dalam kantor,pohon perindang menjorok kantor,1,1,1
3-Feb-21,Lapor Sleman,Kerusakan Jalan Yang Berbahaya.,kerusakan jalan berbahaya,1,1,1
5-Feb-21,Website,Bengkel Las Depan Rumah Yang Mengganggu Karena Membuat Bising,bengkel las depan rumah mengganggu membuat bising,1,1,1
5-Feb-21,Instagram,Pohon perindang berbahaya,pohon perindang berbahaya,1,1,1
6-Feb-21,Lapor Sleman,Banjir Di Jl. Cangkringan Kalasan Sleman,banjir jl cangkringan kalasan,1,1,1
6-Feb-21,Instagram,Pohon perindang di area universitas,pohon perindang area universitas,1,1,1
7-Feb-21,Lapor Sleman,PjU Perempatan Munggur Keutara Mati,pju perempatan munggur keutara mati,1,1,1
7-Feb-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
7-Feb-21,Twitter,PJU Mati,pju mati,1,1,0
7-Feb-21,Instagram,Tarif parkir mahal,tarif parkir mahal,1,1,1
8-Feb-21,Instagram,PJU mati,pju mati,1,1,0
8-Feb-21,Website,Bangunan liar dan dijadikan tempat berkumpul sampai malam,bangunan liar dijadikan tempat berkumpul,1,1,1
8-Feb-21,Lapor Sleman,Membakar Sampah Tiap Hari,membakar sampah tiap hari,1,1,1
8-Feb-21,Facebook Pemkab Sleman,PJU mati,pju mati,1,1,0
9-Feb-21,Twitter,Mesin cetak KTP rusak,mesin cetak ktp rusak,1,1,1
9-Feb-21,Instagram,Mesin cetak KTP rusak,mesin cetak ktp rusak,1,1,1
10-Feb-21,Instagram,kabel PJU kendor,kabel pju kendor,1,1,1
11-Feb-21,Website,Pembayaran retribusi parkir,pembayaran retribusi parkir,1,1,1
13-Feb-21,Twitter,PJU miring di kaliurang,pju miring kaliurang,1,1,1
15-Feb-21,Website,Pungutan liar ketua RT,pungutan liar ketua rt,1,1,1
16-Feb-21,Instagram,Air PDAM keruh,air pdam keruh,1,1,1
17-Feb-21,Website,Jalan Rusak,jalan rusak,1,1,2
17-Feb-21,Lapor Sleman,Jalan Rusak!!!,jalan rusak,1,1,2
17-Feb-21,Instagram,Jalan rusak,jalan rusak,1,1,2
18-Feb-21,Lapor Sleman,Membahayakan Keselamatan Pengendara,membahayakan keselamatan pengendara,1,1,1
19-Feb-21,Lapor Sleman,Pohon Besar Di Pasar Tlagarejo,pohon besar pasar tlagarejo,1,1,1
19-Feb-21,Facebook Pemkab Sleman,APILL mati,apill mati,1,1,0
20-Feb-21,Twitter,Jalan berlubang,jalan berlubang,1,1,2
21-Feb-21,Website,Jalan Bergelombang.,jalan bergelombang,1,1,1
21-Feb-21,Twitter,Mohon untuk dipasang PJU,dipasang pju,1,1,1
23-Feb-21,Website,Air meluap ke jalan,air meluap jalan,1,1,1
24-Feb-21,Instagram,Truk parkir di pinggir Jalan Magelang,truk parkir pinggir jalan magelang,1,1,1
24-Feb-21,Instagram,Jalan ring road ada genangan air,jalan ring road genangan air,1,1,1
24-Feb-21,Facebook Pemkab Sleman,KTPel rusak,ktpel rusak,1,1,1
26-Feb-21,Twitter,LPJU mati,lpju mati,1,1,1
26-Feb-21,Instagram,Air meluap ke jalan,air meluap jalan,1,1,1
27-Feb-21,Lapor Sleman,Pohon Di Pasar Tlagarejo Membahayakan Rumah Sekitar,pohon pasar tlagarejo membahayakan rumah,1,1,1
28-Feb-21,Instagram,Jalan berlubang,jalan berlubang,1,1,2
1-Mar-21,Facebook Pemkab Sleman,Jalan Berlubang,jalan berlubang,1,1,2
1-Mar-21,Instagram,APILL mati,apill mati,1,1,0
1-Mar-21,Twitter,Genangan di jalan nasional,genangan jalan nasional,0,1,1
1-Mar-21,Lapor Sleman,Jalan Berlubang,jalan berlubang,1,1,2
2-Mar-21,Lapor Sleman,Penggantian Lampu PJU,penggantian lampu pju,1,1,0
2-Mar-21,Lapor Sleman,PJU Di Jembatan Kadisoka Mati,pju jembatan kadisoka mati,1,1,0
3-Mar-21,Lapor Sleman,Permohonan Penebangan Pohon,permohonan penebangan pohon,1,1,1
3-Mar-21,Lapor Sleman,Kabel Pju Putus,kabel pju putus,1,1,1
5-Mar-21,Lapor Sleman,Jalan Berlubang Menyebabkan Kecelakaan,jalan berlubang menyebabkan kecelakaan,1,1,1
5-Mar-21,Lapor Sleman,Lampu Pju Mati,lampu pju mati,1,1,0
5-Mar-21,Twitter,Underpass kentungan gril drainase rusak,underpass kentungan gril drainase rusak,1,1,1
5-Mar-21,Instagram,Underpass kentungan gril drainase rusak,underpass kentungan gril drainase rusak,1,1,1
6-Mar-21,Lapor Sleman,Lampu PJU Mati,lampu pju mati,1,1,0
6-Mar-21,Twitter,Pembakaran sampah,pembakaran sampah,1,1,1
7-Mar-21,Lapor Sleman,Lampu PJU,lampu pju,1,1,0
9-Mar-21,Twitter,PJU mati,pju mati,1,1,0
10-Mar-21,Lapor Sleman,MATI LISTRIK SEJAK MALAM,mati listrik sejak,1,1,1
10-Mar-21,Lapor Sleman,Aspal Berlubang,aspal berlubang,1,1,1
10-Mar-21,Lapor Sleman,Pohon Kering,pohon kering,1,1,1
10-Mar-21,Lapor Sleman,Lampu Penerangan Jalan Mati,lampu penerangan jalan mati,1,1,0
11-Mar-21,Lapor Sleman,Asap Penjual Sate,asap penjual sate,1,1,1
11-Mar-21,Lapor Sleman,Aduan Kerusakan Infrastruktur Jalan Di Balecatur,aduan kerusakan infrastruktur jalan balecatur,1,1,1
11-Mar-21,Twitter,PJU Mati,pju mati,1,1,0
11-Mar-21,Twitter,Jalan mudah retak,jalan mudah retak,0,1,1
12-Mar-21,Website,PJU mati,pju mati,1,1,0
