Tanggal,Media,Topik,Topik_Cleaned,label
1-Jan-21,Lapor Sleman,Pengajuan Pencetakan E-KTP,pengajuan pencetakan ektp,0
1-Jan-21,Lapor Sleman,Bau Menyengat,bau menyengat,1
1-Jan-21,Instagram,indo SIM keliling,indo sim keliling,0
1-Jan-21,Website,Pengajuan KIP,pengajuan kip,0
1-Jan-21,Twitter,jalan berlubang,jalan berlubang,1
2-Jan-21,Website,ODGJ meresahkan,odgj meresahkan,0
2-Jan-21,Lapor Sleman,Pkl,pkl,0
3-Jan-21,Website,Pemain layangan mengganggu pertanian,pemain layangan mengganggu pertanian,0
3-Jan-21,Twitter,Jalan inspeksi selokan mataram,jalan inspeksi selokan mataram,0
4-Jan-21,Lapor Sleman,Sampah Sudah Menumpuk Di Titik-titik Tertentu,sampah menumpuk titiktitik tertentu,1
4-Jan-21,Instagram,Pohon perindang tinggi,pohon perindang tinggi,1
4-Jan-21,Website,Jam operasional,jam operasional,0
4-Jan-21,Website,Prosedur mendapatkan bantuan dari pemerintah,prosedur mendapatkan bantuan pemerintah,0
4-Jan-21,Lapor Sleman,Banner,banner,0
4-Jan-21,Lapor Sleman,Aduan Pembuangan Sampah,aduan pembuangan sampah,1
4-Jan-21,Instagram,Prosedur pindah datang online,prosedur pindah datang online,0
4-Jan-21,Instagram,Pengurusan dokumen kependudukan secara online,pengurusan dokumen kependudukan online,0
4-Jan-21,Twitter,tutup drainase underpass kentungan tidak rata,tutup drainase underpass kentungan rata,0
4-Jan-21,Twitter,Jembatan rusak,jembatan rusak,1
4-Jan-21,Instagram,Akta Kelahiran,akta kelahiran,0
5-Jan-21,Email,Sinkronisasi NIK,sinkronisasi nik,0
5-Jan-21,Email,Layanan Penanggulangan Bencana,layanan penanggulangan bencana,0
5-Jan-21,Website,Jalan berlubang,jalan berlubang,1
5-Jan-21,Facebook Grup ICJ,Jalan berlubang,jalan berlubang,1
5-Jan-21,Facebook Grup ICJ,Jalan Gito Gati,jalan gito gati,0
5-Jan-21,Twitter,Jalan Gito Gati,jalan gito gati,0
5-Jan-21,Twitter,Mengirim makanan ke rusunawa gemawang,mengirim makanan rusunawa gemawang,0
6-Jan-21,Lapor Sleman,"Badan Jalan Dipasang Tiang 
",badan jalan dipasang tiang,0
6-Jan-21,Website,Pembelian tanah KTP luar Provinsi,pembelian tanah ktp luar provinsi,0
6-Jan-21,Website,Tugas Penegak Protokol kesehatan,tugas penegak protokol kesehatan,0
6-Jan-21,Twitter,Pemberhentian Trans jogja,pemberhentian trans,0
